Player_ID,Last_Name,First_Name,Junior_Flag,Nickname,Position,Player_of_Game_Count,Championship_Rings,Player_of_the_Week_Count,Player_of_the_Week_Win,Height,Weight,Hall_of_Fame_Flag,Year_Inducted,Percentage_of_Vote,Chosen_Team,Year_Born,Month_Born,Day_Born,College,Draft_Round,Drafted_Position,Drafted_By,Draft_Year,4th_Quarter_Comebacks,Quarterback_Wins,Quarterback_Losses,Quarterback_Ties,Home_Town,Home_State,Career_Games_Played,Number_of_Seasons,Season_1_Pointer_to_Player_Year_Data,SP_2,SP_3,SP_4,SP_5,SP_6,SP_7,SP_8,SP_9,SP_10,SP_11,SP_12,SP_13,SP_14,SP_15,SP_16,SP_17,SP_18,SP_19,SP_20,Season_1_Year,SY_2,SY_3,SY_4,SY_5,SY_6,SY_7,SY_8,SY_9,SY_10,SY_11,SY_12,SY_13,SY_14,SY_15,SY_16,SY_17,SY_18,SY_19,SY_20
1,Brady,Tom,0,,QB,5,0,10,1,76,225,1,2025,100,27,1977,8,3,13,6,33,16,2000,0,8,8,0,1368,5,16,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brees,Drew,0,,QB,3,0,3,0,72,209,1,2025,82,17,1979,1,15,19,2,1,23,2001,1,9,2,0,11487,43,13,1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,McCown,Josh,0,,QB,0,0,0,0,76,218,0,0,0,0,1979,7,4,197,3,16,0,2002,0,0,0,0,11828,43,5,1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Fitzgerald,Larry,0,,SE,0,0,0,0,75,218,0,0,0,0,1983,8,31,35,1,3,0,2004,0,0,0,0,6095,23,16,1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Lee,Andy,0,,P,0,0,0,0,73,185,0,0,0,0,1982,8,11,35,6,23,25,2004,0,0,0,0,8798,33,16,1,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Muhlbach,Don,0,,LS,0,0,0,0,76,258,0,0,0,0,1981,8,17,31,0,0,-1,0,0,0,0,0,9075,35,16,1,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Peters,Jason,0,,LT,0,0,0,0,76,308,1,2025,80,21,1982,1,22,83,0,0,-1,0,0,0,0,0,12087,43,16,1,138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Rivers,Philip,0,,QB,3,0,5,0,77,228,0,0,0,0,1981,12,8,7,1,4,18,2004,2,6,10,0,21,1,16,1,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Roethlisberger,Ben,0,,QB,8,0,12,2,77,240,0,0,0,0,1982,3,2,61,1,11,22,2004,2,12,7,0,9086,35,19,1,184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Schaub,Matt,0,,QB,0,0,0,0,78,237,0,0,0,0,1981,6,25,8,3,27,1,2004,0,0,0,0,10332,38,1,1,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Witten,Jason,0,,TE,0,0,0,0,78,263,1,2025,100,20,1982,5,6,80,3,5,7,2003,0,0,0,0,11354,42,16,1,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Colquitt,Dustin,0,,P,0,0,0,0,75,210,0,0,0,0,1982,5,6,80,3,35,13,2005,0,0,0,0,11215,42,0,1,253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Davis,Thomas,0,,SLB,0,0,0,0,73,249,0,0,0,0,1983,3,22,77,1,14,4,2005,0,0,0,0,2576,10,6,1,276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Fitzpatrick,Ryan,0,,QB,0,0,0,0,74,228,0,0,0,0,1982,11,24,155,7,36,26,2005,0,0,0,0,424,3,8,2,299,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Gore,Frank,0,,RB,0,0,1,0,69,212,0,0,0,0,1983,5,14,34,3,1,25,2005,0,0,0,0,2083,9,7,1,322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Gould,Robbie,0,,K,0,0,3,0,72,190,0,0,0,0,1982,12,6,18,0,0,-1,0,0,0,0,0,10610,38,16,1,345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Rodgers,Aaron,0,,QB,4,0,6,0,74,225,0,0,0,0,1983,12,2,68,1,24,10,2005,1,9,4,0,1140,5,13,1,391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Smith,Alex,0,,QB,4,0,7,0,76,215,0,0,0,0,1984,5,7,94,1,1,25,2005,0,6,10,0,13005,47,16,1,414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Gostkowski,Stephen,0,,K,0,0,5,0,73,215,0,0,0,0,1984,1,28,51,4,21,16,2006,0,0,0,0,6430,24,23,2,437,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Joseph,Johnathan,0,,LCB,0,0,0,0,71,186,0,0,0,0,1984,4,16,79,1,24,6,2006,0,0,0,0,10914,40,0,1,460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Koch,Sam,0,,P,0,0,0,0,73,222,0,0,0,0,1982,8,13,26,6,34,2,2006,0,0,0,0,7213,27,61,5,483,46,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,2023,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lewis,Marcedes,0,,TE,0,0,0,0,78,267,0,0,0,0,1984,5,19,72,1,28,12,2006,0,0,0,0,957,5,2,1,506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Nugent,Mike,0,,K,0,0,5,0,70,190,0,0,0,0,1982,3,2,17,2,15,19,2005,0,0,0,0,9072,35,32,2,529,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Peko,Domata,0,,NT,0,0,0,0,75,325,0,0,0,0,1984,11,27,14,4,26,6,2006,0,0,0,0,862,5,1,1,552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Whitworth,Andrew,0,,LT,0,0,0,0,79,330,0,0,0,0,1981,12,12,85,2,23,6,2006,0,0,0,0,4666,18,13,1,575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Crosby,Mason,0,,K,2,0,14,0,73,207,0,0,0,0,1984,9,3,21,6,19,10,2007,0,0,0,0,11669,43,48,3,598,92,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Ginn,Ted,0,,FL,0,0,0,0,71,167,0,0,0,0,1985,4,12,17,1,9,14,2007,0,0,0,0,9074,35,0,1,621,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Olsen,Greg,0,,TE,0,0,0,0,78,255,0,0,0,0,1985,3,11,34,1,31,5,2007,0,0,0,0,7606,30,18,1,644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Prater,Matt,0,,K,0,0,8,0,70,201,0,0,0,0,1984,8,10,106,0,0,-1,0,0,0,0,0,9101,35,47,3,667,115,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,2021,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Williams,Tramon,0,,RCB,0,0,0,0,72,191,0,0,0,0,1983,3,16,107,0,0,-1,0,0,0,0,0,4676,18,17,1,690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
