Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Offensive_Style,Offensive_Plays,Defensive_Front,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Kingsbury,Kliff,99,None,Quarterbacks,0,53,56,58,8,26,0,0,3,60,0,14,7,91,1,0,38,35,0,40,0
1,Clements,Tom,99,None,Quarterbacks,0,9,16,46,46,72,0,0,3,64,0,33,25,117,1,0,29,30,0,19,0
2,Joseph,Vance,99,None,Secondary,0,54,60,13,33,48,0,0,0,0,1,34,1,98,1,0,27,0,45,43,0
3,Rodgers,Jeff,99,None,Linebackers,0,23,65,82,78,18,0,0,0,0,1,50,36,92,1,0,55,0,36,46,0
4,Morris,Buddy,99,None,Strength,0,0,0,0,0,0,63,3,0,0,0,0,0,113,1,0,0,0,0,0,29
5,Quinn,Dan,99,None,Defensive Linemen,0,15,24,25,46,29,0,0,0,0,3,21,18,100,1,0,22,0,19,19,0
6,Koetter,Dirk,99,None,Quarterbacks,0,28,11,47,3,45,0,0,6,69,0,33,30,111,1,0,28,27,0,21,0
7,Ulbrich,Jeff,99,None,Linebackers,0,63,5,58,72,0,0,0,0,0,3,21,50,93,1,0,50,0,23,30,0
8,Morris,Raheem,99,None,Secondary,0,67,58,12,26,33,0,0,0,0,3,23,38,94,1,0,32,0,44,49,0
9,Ackerman,Jesse,99,None,Strength,0,0,0,0,0,0,32,79,0,0,0,0,0,90,1,0,0,0,0,0,53
10,Harbaugh,John,99,None,Secondary,0,73,63,33,74,31,0,0,0,0,3,74,29,108,1,0,49,0,56,59,0
11,Roman,Greg,99,None,Tight Ends,0,73,40,70,34,76,0,0,1,60,0,85,38,98,1,0,54,61,0,49,0
12,Martindale,Don,99,None,Linebackers,0,45,71,28,75,32,0,0,0,0,3,37,41,107,1,0,44,0,46,54,0
13,Culley,David,99,None,Wide Receivers,0,62,54,55,25,67,0,0,1,63,0,31,24,115,1,0,44,50,0,46,0
14,Saunders,Steve,99,None,Strength,0,0,0,0,0,0,34,48,0,0,0,0,0,100,1,0,0,0,0,0,40
15,McDermott,Sean,99,None,Secondary,0,0,0,39,0,0,0,0,0,0,3,0,34,96,1,0,19,0,2,8,0
16,Daboll,Brian,99,None,Quarterbacks,0,93,42,68,34,57,0,0,4,68,0,58,76,95,1,0,62,59,0,57,0
17,Frazier,Leslie,99,None,Secondary,0,39,54,76,39,1,0,0,0,0,3,56,70,111,1,0,52,0,36,48,0
18,Farwell,Heath,99,None,Linebackers,0,0,41,17,62,40,0,0,0,0,3,27,27,89,1,0,22,0,24,24,0
19,Ciano,Eric,99,None,Strength,0,0,0,0,0,0,45,17,0,0,0,0,0,94,1,0,0,0,0,0,30
20,Rhule,Matt,99,None,Defensive Linemen,0,0,18,46,22,7,0,0,0,0,3,28,35,95,1,0,26,0,13,17,0
21,Brady,Joe,99,None,Wide Receivers,0,69,76,58,72,68,0,0,3,67,0,57,40,81,1,0,57,63,0,62,0
22,Snow,Phil,99,None,Secondary,0,23,65,47,3,50,0,0,0,0,3,40,46,115,1,0,34,0,43,46,0
23,Blackburn,Chase,99,None,Linebackers,0,13,0,29,28,0,0,0,0,0,3,0,54,87,1,0,21,0,4,8,0
24,King,Kevin,99,None,Strength,0,0,0,0,0,0,56,27,0,0,0,0,0,92,1,0,0,0,0,0,41
25,Nagy,Matt,99,None,Quarterbacks,0,92,74,8,21,42,0,0,3,58,0,81,4,92,1,0,34,65,0,60,0
26,Lazor,Bill,99,None,Quarterbacks,0,44,46,64,61,29,0,0,3,61,0,14,23,98,1,0,46,31,0,35,0
27,Pagano,Chuck,99,None,Secondary,0,27,58,32,22,45,0,0,0,0,1,11,35,110,1,0,30,0,33,38,0
28,Tabor,Chris,99,None,Running Backs,0,56,6,75,53,50,0,0,3,58,0,15,39,99,1,0,49,29,0,25,0
29,Loscalzo,Jason,99,None,Strength,0,0,0,0,0,0,23,0,0,0,0,0,0,93,1,0,0,0,0,0,14
30,Taylor,Zac,99,None,Quarterbacks,0,65,29,60,44,6,0,0,2,65,0,78,33,87,1,0,49,41,0,40,0
31,Callahan,Brian,99,None,Quarterbacks,0,81,72,66,23,38,0,0,2,59,0,62,76,86,1,0,59,60,0,64,0
32,Anarumo,Lou,99,None,Secondary,0,46,18,28,29,70,0,0,0,0,3,34,59,104,1,0,32,0,39,29,0
33,Simmons,Darrin,99,None,Quarterbacks,0,4,1,80,55,45,0,0,2,64,0,22,45,97,1,0,41,15,0,11,0
34,Boese,Joey,99,None,Strength,0,0,0,0,0,0,47,48,0,0,0,0,0,90,1,0,0,0,0,0,46
35,McCarthy,Mike,99,None,Quarterbacks,0,10,59,42,76,43,0,0,5,58,0,65,50,107,1,0,44,43,0,47,0
36,Moore,Kellen,99,None,Quarterbacks,0,82,68,49,50,29,0,0,5,61,0,88,31,82,1,0,52,61,0,60,0
37,Nolan,Mike,99,None,Linebackers,0,73,49,56,86,86,0,0,0,0,4,37,61,111,1,0,59,0,58,52,0
38,Davis,Rob,99,None,Defensive Linemen,0,49,69,36,0,29,0,0,1,64,4,54,0,102,1,0,33,47,0,50,0
39,Nash,Harold,99,None,Strength,0,0,0,0,0,0,18,24,0,0,0,0,0,100,1,0,0,0,0,0,24
40,Fangio,Vic,99,None,Linebackers,0,38,53,34,26,82,0,0,0,0,1,38,23,112,1,0,29,0,48,37,0
41,Shurmur,Pat,99,None,Tight Ends,0,60,23,72,57,8,0,0,5,62,0,41,21,105,1,0,51,30,0,35,0
42,Donatell,Ed,99,None,Secondary,0,30,67,37,0,71,0,0,0,0,1,14,57,113,1,0,32,0,43,45,0
43,McMahon,Tom,99,None,Secondary,0,19,17,40,32,39,0,0,0,0,1,55,29,100,1,0,26,0,29,20,0
44,Landow,Loren,99,None,Strength,0,0,0,0,0,0,22,33,0,0,0,0,0,95,1,0,0,0,0,0,29
45,Patricia,Matt,99,None,Linebackers,0,65,82,69,13,65,0,0,0,0,4,39,40,96,1,0,51,0,58,59,0
46,Bevell,Darrell,99,None,Tight Ends,0,45,32,47,6,27,0,0,6,64,0,9,26,100,1,0,32,27,0,31,0
47,Undlin,Corey,99,None,Secondary,0,17,26,26,22,20,0,0,0,0,4,42,0,99,1,0,18,0,23,20,0
48,Coombs,Brayden,99,None,Wide Receivers,0,36,15,11,20,37,0,0,6,62,0,33,72,84,1,0,23,29,0,25,0
49,Schuler,Josh,99,None,Strength,0,0,0,0,0,0,0,57,0,0,0,0,0,87,1,0,0,0,0,0,30
50,LaFleur,Matt,99,None,Quarterbacks,0,66,25,47,28,0,0,0,3,59,0,43,17,91,1,0,38,31,0,34,0
